pages,question
1,"Pot beneficia femeile de reduceri suplimentare ale vârstei de pensionare?"
1,"Ce se întâmplă cu pensia anticipată la împlinirea vârstei standard de pensionare?"
1,"Cât costă cazierul judiciar la ghișeu?"
1,"Atunci ce plătesc dacă îl cer online?"
1,"Pot obține cazier judiciar pentru altcineva?"
1,"Pot plăti cu cardul?"
1,"Cum verific rovinieta online?"
1,"Pot verifica rovinieta fără seria de șasiu?"
1,"Am fost prins fără rovinietă în România, ce fac?"
1,"Am nevoie de rovinietă pentru remorcă?"
1,"În ce monedă se plătește rovinieta în România?"
1,"De unde pot cumpăra fizic rovinieta în România?"
1,"Verificarea rovinietei este gratuită?"
1,"Ce este cartea funciară colectivă?"
1,"Care este diferența dintre un extras de carte funciară și un extras de carte funciară colectivă?"
1,"Ce fac dacă datele din extras nu sunt actualizate?"
1,"Când e nevoie de carte funciară colectivă?"
1,"De ce informații am nevoie pentru a scoate un extras de carte funciară colectivă?"
1,"Ce este transcrierea certificatului de căsătorie?"
1,"Este obligatorie transcrierea?"
1,"Ce acte îmi trebuie pentru transcriere?"
1,"Unde se depune cererea de transcriere?"
1,"Ce este transcrierea certificatului de naștere?"
1,"Am nevoie de apostilă pentru transcrierea certificatului de naștere?"
1,"Cât durează transcrierea certificatului de naștere?"
1,"De ce este obligatorie transcrierea?"
1,"Transcrierea certificatului de naștere este diferită de cea a căsătoriei?"
1,"Pot semna acum un antecontract ca să prind TVA de 9%?"
1,"Ce trebuie să se întâmple până pe 31 iulie 2026, mai exact?"
1,"Care sunt condițiile complete pentru cota de 9%?"
1,"Cât pierd concret dacă ratez termenul?"
1,"ANCPI e picat și notarul nu poate autentifica. Se prelungește termenul?"
1,"Am antecontract din iunie 2025 fără avans de 20%. Mai am dreptul la 9%?"
1,"Locuința costă 620.000 lei fără TVA. Se aplică 9% până la plafon și 21% peste?"
1,"Contează data actului autentic sau data înscrierii în cartea funciară?"
1,"Cine suportă diferența dacă dezvoltatorul întârzie livrarea?"
1,"Cum obțin extras de carte funciară cât timp e-Terra e picat?"
1,"De ce este valabil 6 luni în România, dar doar 90 de zile în străinătate?"
1,"De la ce dată se calculează valabilitatea?"
1,"Ce verific la autoritatea care îmi cere certificatul de celibat?"
1,"Pot obține certificatul de celibat din străinătate, fără să mă întorc în țară?"
1,"Se poate prelungi valabilitatea unui extras de carte funciară?"
1,"Ce se întâmplă dacă folosesc un extras de carte funciară expirat într-o tranzacție?"
1,"Cât timp este valabil un extras de carte funciară pentru informare?"
1,"Cum verific valabilitatea unui extras de carte funciară?"
1,"Se poate face verificare cazier fiscal online?"
1,"Ce conține cazierul fiscal?"
1,"Cum arată cazierul fiscal?"
1,"Cât este valabil un cazier fiscal?"
1,"Cazierul fiscal se folosește o singură dată?"
1,"Cum verific dacă un certificat de cazier fiscal este autentic?"
1,"Când se șterge o faptă din cazierul fiscal?"
1,"Pot verifica cazierul fiscal al unui partener de afaceri?"
1,"Cazierul fiscal arată dacă am datorii la ANAF?"
1,"Cum aflu cine este proprietarul unui imobil?"
1,"Pot afla proprietarul doar după adresă?"
1,"Este legal să verific cine e proprietarul unui imobil?"
1,"Cât costă să afli proprietarul unui imobil?"
1,"Terenul nu are carte funciară. Cum aflu al cui e?"
1,"Pot vedea toate proprietățile unei persoane?"
1,"Sistemele ANCPI sunt picate. Mai pot verifica proprietarul?"
